EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), APRIL 2010
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the series of NETHERLANDS, PUTTEN (GLD) (source-ID: 101992)
See file source.txt for more info.



 SOUID,    DATE,   SD, Q_SD
101992,19011217,-9999,    9
101992,19011218,-9999,    9
101992,19011219,-9999,    9
101992,19011220,-9999,    9
101992,19011221,-9999,    9
101992,19011222,-9999,    9
101992,19011223,-9999,    9
101992,19011224,-9999,    9
101992,19011225,-9999,    9
101992,19011226,-9999,    9
101992,19011227,-9999,    9
101992,19011228,-9999,    9
101992,19011229,-9999,    9
101992,19011230,-9999,    9
101992,19011231,-9999,    9
101992,19020101,-9999,    9
101992,19020102,-9999,    9
101992,19020103,-9999,    9
101992,19020104,-9999,    9
101992,19020105,-9999,    9
101992,19020106,-9999,    9
101992,19020107,-9999,    9
101992,19020108,-9999,    9
101992,19020109,-9999,    9
101992,19020110,-9999,    9
101992,19020111,-9999,    9
101992,19020112,-9999,    9
101992,19020113,-9999,    9
101992,19020114,-9999,    9
101992,19020115,-9999,    9
101992,19020116,-9999,    9
101992,19020117,-9999,    9
101992,19020118,-9999,    9
101992,19020119,-9999,    9
101992,19020120,-9999,    9
101992,19020121,-9999,    9
101992,19020122,-9999,    9
101992,19020123,-9999,    9
101992,19020124,-9999,    9
101992,19020125,-9999,    9
101992,19020126,-9999,    9
101992,19020127,-9999,    9
101992,19020128,-9999,    9
101992,19020129,-9999,    9
101992,19020130,-9999,    9
101992,19020131,-9999,    9
101992,19020201,-9999,    9
101992,19020202,-9999,    9
101992,19020203,-9999,    9
101992,19020204,-9999,    9
101992,19020205,-9999,    9
101992,19020206,-9999,    9
101992,19020207,-9999,    9
101992,19020208,-9999,    9
101992,19020209,-9999,    9
101992,19020210,-9999,    9
101992,19020211,-9999,    9
101992,19020212,-9999,    9
101992,19020213,-9999,    9
101992,19020214,-9999,    9
101992,19020215,-9999,    9
101992,19020216,-9999,    9
101992,19020217,-9999,    9
101992,19020218,-9999,    9
101992,19020219,-9999,    9
101992,19020220,-9999,    9
101992,19020221,-9999,    9
101992,19020222,-9999,    9
101992,19020223,-9999,    9
101992,19020224,-9999,    9
101992,19020225,-9999,    9
101992,19020226,-9999,    9
101992,19020227,-9999,    9
101992,19020228,-9999,    9
101992,19020301,-9999,    9
101992,19020302,-9999,    9
101992,19020303,-9999,    9
101992,19020304,-9999,    9
101992,19020305,-9999,    9
101992,19020306,-9999,    9
101992,19020307,-9999,    9
101992,19020308,-9999,    9
101992,19020309,-9999,    9
101992,19020310,-9999,    9
101992,19020311,-9999,    9
101992,19020312,-9999,    9
101992,19020313,-9999,    9
101992,19020314,-9999,    9
101992,19020315,-9999,    9
101992,19020316,-9999,    9
101992,19020317,-9999,    9
101992,19020318,-9999,    9
101992,19020319,-9999,    9
101992,19020320,-9999,    9
101992,19020321,-9999,    9
101992,19020322,-9999,    9
101992,19020323,-9999,    9
101992,19020324,-9999,    9
101992,19020325,-9999,    9
101992,19020326,-9999,    9
101992,19020327,-9999,    9
101992,19020328,-9999,    9
101992,19020329,-9999,    9
101992,19020330,-9999,    9
101992,19020331,-9999,    9
101992,19020401,-9999,    9
101992,19020402,-9999,    9
101992,19020403,-9999,    9
101992,19020404,-9999,    9
101992,19020405,-9999,    9
101992,19020406,-9999,    9
101992,19020407,-9999,    9
101992,19020408,-9999,    9
101992,19020409,-9999,    9
101992,19020410,-9999,    9
101992,19020411,-9999,    9
101992,19020412,-9999,    9
101992,19020413,-9999,    9
101992,19020414,-9999,    9
101992,19020415,-9999,    9
101992,19020416,-9999,    9
101992,19020417,-9999,    9
101992,19020418,-9999,    9
101992,19020419,-9999,    9
101992,19020420,-9999,    9
101992,19020421,-9999,    9
101992,19020422,-9999,    9
101992,19020423,-9999,    9
101992,19020424,-9999,    9
101992,19020425,-9999,    9
101992,19020426,-9999,    9
101992,19020427,-9999,    9
101992,19020428,-9999,    9
101992,19020429,-9999,    9
101992,19020430,-9999,    9
101992,19020501,-9999,    9
101992,19020502,-9999,    9
101992,19020503,-9999,    9
101992,19020504,-9999,    9
101992,19020505,-9999,    9
101992,19020506,-9999,    9
101992,19020507,-9999,    9
101992,19020508,-9999,    9
101992,19020509,-9999,    9
101992,19020510,-9999,    9
101992,19020511,-9999,    9
101992,19020512,-9999,    9
101992,19020513,-9999,    9
101992,19020514,-9999,    9
101992,19020515,-9999,    9
101992,19020516,-9999,    9
101992,19020517,-9999,    9
101992,19020518,-9999,    9
101992,19020519,-9999,    9
101992,19020520,-9999,    9
101992,19020521,-9999,    9
101992,19020522,-9999,    9
101992,19020523,-9999,    9
101992,19020524,-9999,    9
101992,19020525,-9999,    9
101992,19020526,-9999,    9
101992,19020527,-9999,    9
101992,19020528,-9999,    9
101992,19020529,-9999,    9
